Wall time,Step,Value
1688461057.6438258,43,-1630.6058349609375
1688461069.9120383,95,-621.0261840820312
1688461087.2806184,168,-620.8098754882812
1688461101.5973547,230,-620.8729858398438
1688461102.7662306,235,-620.804931640625
1688461111.844967,274,-620.819580078125
1688461119.9562888,309,-620.7948608398438
1688461120.389132,311,-620.7953491210938
1688461122.2302122,319,-620.8473510742188
1688461158.6708195,475,-620.7808837890625
1688461173.134058,537,-620.7568969726562
1688461183.0216324,580,-620.773193359375
1688461184.668232,587,-620.8226318359375
1688461195.6389172,635,-620.784423828125
1688461198.6309268,648,-620.8834228515625
1688461213.8702097,715,-620.8186645507812
1688461215.7052927,723,-620.8382568359375
1688461235.1592999,809,-620.8035278320312
1688461241.3956327,837,-620.8427734375
1688461281.4296386,1015,-620.7804565429688
1688461293.763673,1067,-620.8021850585938
1688461302.6030493,1105,-620.7857055664062
1688461320.3009536,1181,-620.7445068359375
1688461339.2353494,1262,-620.9393310546875
1688461352.0052204,1317,-621.1598510742188
1688461352.7302825,1320,-620.9716186523438
1688461356.0673633,1334,-620.87548828125
1688461357.0138335,1338,-620.9335327148438
1688461368.3226101,1386,-620.9439086914062
1688461369.871471,1393,-620.888427734375
1688461380.047275,1437,-620.8958129882812
1688461407.743254,1553,-620.9422607421875
1688461440.7031643,1692,-620.89453125
1688461450.7473202,1735,-620.9849243164062
1688461451.467396,1738,-620.8587036132812
1688461484.1460588,1878,-620.873779296875
1688461493.5020537,1918,-620.913330078125
1688461521.4327407,2037,-620.940673828125
1688461535.477206,2097,-620.8267822265625
1688461559.8394089,2200,-620.7694091796875
1688461574.8126352,2263,-620.964111328125
1688461585.4861093,2308,-620.8505859375
1688461605.4923856,2390,-620.787353515625
1688461616.6525586,2437,-620.7496948242188
1688461628.4240983,2486,-620.8395385742188
1688461628.6774216,2487,-620.848876953125
1688461631.5906355,2499,-620.8162231445312
1688461639.746837,2533,-620.7857055664062
1688461676.774402,2686,-621.02392578125
1688461690.309241,2741,-620.8382568359375
1688461746.0373924,2968,-625.3517456054688
1688461763.7316673,3039,-621.20263671875
1688461793.9339476,3162,-620.8386840820312
1688461810.2393694,3231,-620.78857421875
1688461813.9843607,3247,-620.7711791992188
1688461829.2774897,3306,-620.7643432617188
1688461904.6689959,3619,-620.802490234375
1688461905.1477163,3621,-620.8085327148438
1688461917.0050259,3671,-620.78955078125
1688461933.6566246,3742,-620.8007202148438
1688461950.6473825,3815,-620.7968139648438
1688461952.2560837,3822,-620.8563232421875
1688461977.7359848,3929,-620.843505859375
1688461984.399177,3957,-620.7970581054688
1688462003.5948741,4037,-620.8184814453125
1688462018.5359426,4099,-620.9384155273438
1688462041.9712067,4197,-620.7493286132812
1688462050.6320598,4233,-620.8043212890625
1688462070.7842007,4318,-620.8045654296875
1688462090.2451892,4401,-620.79638671875
1688462112.356095,4493,-620.83642578125
1688462116.4172413,4510,-620.8049926757812
1688462153.0174232,4669,-620.7730102539062
1688462154.9183426,4677,-620.8314819335938
1688462180.8021657,4789,-620.8538208007812
1688462224.3304162,4972,-621.4964599609375
1688462255.9548953,5107,-620.8465576171875
1688462262.790626,5135,-620.8023681640625
1688462312.9774964,5346,-620.8218994140625
1688462316.2347903,5360,-620.8197021484375
1688462362.0303962,5550,-620.7860717773438
1688462392.8141232,5680,-620.8214721679688
1688462403.1913888,5724,-620.7451171875
1688462423.4582233,5809,-620.7782592773438
1688462437.2413862,5865,-620.7381591796875
1688462438.9238894,5872,-620.8253173828125
1688462447.4600759,5908,-620.83349609375
1688462467.2451978,5991,-620.870849609375
1688462517.076498,6201,-620.8779907226562
1688462521.4797308,6220,-620.7951049804688
1688462537.947718,6290,-620.88916015625
1688462558.5057738,6377,-620.839111328125
1688462605.3505757,6575,-620.8436279296875
1688462612.3039918,6604,-620.80517578125
1688462635.2696135,6700,-620.7615966796875
1688462638.0801132,6712,-620.7903442382812
1688462671.9944632,6855,-620.7828979492188
1688462698.444786,6967,-620.83740234375
1688462734.0416346,7115,-620.7706909179688
1688462743.5871227,7156,-620.7672729492188
1688462797.6642845,7383,-620.7977905273438
1688462816.2196925,7461,-620.8077392578125
1688462816.930792,7464,-620.739501953125
1688462820.3775804,7479,-620.7741088867188
1688462828.3482783,7512,-620.7575073242188
1688462893.5171063,7789,-620.810791015625
1688462895.8688211,7799,-620.7888793945312
1688462904.0399954,7834,-620.7805786132812
1688462941.696352,7992,-620.7747192382812
1688462959.6952503,8067,-620.8031616210938
1688462986.976326,8181,-620.778076171875
1688462996.83398,8222,-620.8068237304688
1688463031.254986,8364,-620.7946166992188
1688463034.4265099,8378,-620.7551879882812
1688463062.8585222,8499,-620.8612060546875
1688463065.2980027,8509,-620.8524780273438
1688463087.2972069,8602,-620.8057861328125
1688463153.7436075,8879,-620.8097534179688
1688463165.054378,8929,-620.84375
1688463166.6391425,8936,-620.8029174804688
1688463179.972508,8994,-620.7728881835938
1688463242.9531846,9261,-620.8055419921875
1688463292.6454046,9469,-620.7489013671875
1688463312.9990082,9555,-620.81298828125
1688463316.11867,9568,-620.824951171875
1688463343.0756252,9681,-620.7886352539062
1688463347.3282592,9699,-620.8084716796875
1688463381.9826417,9844,-620.8193969726562
1688463397.2484176,9908,-620.7883911132812
1688463486.3855596,10277,-620.7835693359375
1688463487.9892728,10284,-620.7862548828125
1688463515.7401047,10400,-620.7554931640625
1688463534.9228365,10480,-620.77783203125
1688463545.0856752,10523,-620.8623046875
1688463565.3191144,10608,-620.766357421875
1688463601.1590495,10758,-620.8004760742188
1688463601.410378,10759,-620.8810424804688
1688463606.7909975,10781,-620.787841796875
1688463623.5412307,10851,-620.8162231445312
1688463635.7954795,10903,-620.7403564453125
1688463636.4744284,10906,-620.792236328125
1688463645.8605845,10944,-620.8110961914062
1688463651.3357162,10967,-620.7921142578125
1688463653.2296546,10975,-620.7653198242188
1688463664.4038262,11021,-620.8399047851562
1688463684.2017746,11103,-620.8084106445312
1688463688.807466,11122,-620.84912109375
1688463760.4655027,11420,-620.7946166992188
1688463772.9072516,11473,-620.798828125
1688463777.671519,11493,-620.7577514648438
1688463784.924135,11524,-620.8455200195312
1688463787.089348,11533,-620.7914428710938
1688463795.2465475,11567,-620.8040161132812
1688463823.608746,11686,-620.861083984375
1688463841.2396255,11760,-620.7567138671875
1688463892.4192152,11970,-620.8662719726562
1688463893.642944,11975,-620.8439331054688
1688463933.0087342,12139,-620.7536010742188
1688463939.2640162,12165,-620.8276977539062
1688463969.4313903,12291,-620.7926025390625
1688464061.4860754,12672,-620.7696533203125
1688464111.5900729,12878,-620.7850952148438
1688464126.581007,12940,-620.8248291015625
1688464149.3162444,13035,-620.8320922851562
1688464155.7749827,13062,-620.7616577148438
1688464160.8314688,13083,-620.805908203125
1688464163.720747,13095,-620.7806396484375
1688464167.3670018,13110,-620.8082275390625
1688464238.203819,13403,-620.81787109375
1688464262.5288095,13505,-620.8103637695312
1688464272.6567395,13547,-620.7817993164062
1688464284.9199653,13598,-620.7747192382812
1688464290.5050378,13621,-620.7594604492188
1688464305.0172524,13680,-620.7618408203125
1688464336.3734496,13811,-620.8175048828125
1688464354.1658971,13885,-620.8460693359375
1688464401.6011207,14081,-620.7590942382812
1688464435.81867,14222,-620.7943725585938
1688464453.389639,14295,-620.8003540039062
1688464459.5242424,14321,-620.7762451171875
1688464463.8676345,14339,-620.8002319335938
1688464478.1803818,14398,-620.7973022460938
1688464490.2261877,14448,-620.785400390625
1688464534.7501929,14633,-620.7715454101562
1688464536.1853569,14639,-620.7996215820312
1688464543.4728801,14669,-620.756591796875
