Wall time,Step,Value
1688441806.6117406,43,-629.3701782226562
1688441818.4151344,95,-628.5369262695312
1688441835.4904928,168,-628.4120483398438
1688441849.5726812,230,-628.4683227539062
1688441850.7143304,235,-628.410400390625
1688441859.6515064,274,-628.4199829101562
1688441867.4459126,309,-628.40234375
1688441867.908256,311,-628.3977661132812
1688441869.6743383,319,-628.4444580078125
1688441904.3343012,475,-628.389404296875
1688441918.0664175,537,-628.3685913085938
1688441927.596923,580,-628.3838500976562
1688441929.1066618,587,-628.4332885742188
1688441939.5737674,635,-628.3954467773438
1688441942.431556,648,-628.4945678710938
1688441956.984419,715,-628.4296264648438
1688441958.7280273,723,-628.4495239257812
1688441977.4079607,809,-628.4143676757812
1688441983.5080721,837,-628.453857421875
1688442022.491417,1015,-628.3902587890625
1688442034.272076,1067,-628.4468383789062
1688442042.8664348,1105,-628.41748046875
1688442060.099996,1181,-628.361572265625
1688442078.583429,1262,-628.4140014648438
1688442091.0893934,1317,-628.48291015625
1688442091.804099,1320,-628.3978271484375
1688442094.9486778,1334,-628.3659057617188
1688442095.8479118,1338,-628.4619140625
1688442106.8921106,1386,-628.40869140625
1688442108.4641464,1393,-628.4072875976562
1688442118.9921722,1437,-628.3857421875
1688442145.2980022,1553,-628.4119262695312
1688442181.6505098,1692,-628.4042358398438
1688442192.9758155,1735,-628.4698486328125
1688442193.868126,1738,-628.38232421875
1688442227.952626,1878,-628.3920288085938
1688442237.8108554,1918,-628.3594970703125
1688442267.1927109,2037,-628.377197265625
1688442281.953742,2097,-628.4524536132812
1688442307.286177,2200,-628.37353515625
1688442322.8078132,2263,-628.4293823242188
1688442333.1063468,2308,-628.4567260742188
1688442351.5916924,2390,-628.3594970703125
1688442362.221878,2437,-628.3991088867188
1688442373.346335,2486,-628.4811401367188
1688442373.5742664,2487,-628.4696655273438
1688442376.3217466,2499,-628.44970703125
1688442383.9649403,2533,-628.4340209960938
1688442418.5429304,2686,-628.4141845703125
1688442430.9715118,2741,-628.4249267578125
1688442482.4916527,2968,-628.3612060546875
1688442498.6563895,3039,-628.37255859375
1688442526.7795508,3162,-628.4976806640625
1688442542.8228297,3231,-628.3892211914062
1688442546.554008,3247,-628.4072265625
1688442560.347891,3306,-628.3910522460938
1688442632.3751233,3619,-628.3970947265625
1688442632.8380015,3621,-628.4354248046875
1688442644.2708395,3671,-628.3978271484375
1688442660.5705042,3742,-628.3980712890625
1688442677.3391376,3815,-628.4344482421875
1688442678.9643247,3822,-628.4111328125
1688442703.5427897,3929,-628.4344482421875
1688442709.9888453,3957,-628.4108276367188
1688442728.323962,4037,-628.400634765625
1688442742.5923915,4099,-628.4288330078125
1688442765.2787251,4197,-628.352294921875
1688442773.6158397,4233,-628.3916625976562
1688442793.3237264,4318,-628.4036254882812
1688442812.3463094,4401,-628.3964233398438
1688442833.3090787,4493,-628.4580078125
1688442837.1858406,4510,-628.4114990234375
1688442873.543498,4669,-628.4310302734375
1688442875.3753903,4677,-628.4266357421875
1688442901.0608773,4789,-628.4898681640625
1688442942.9525867,4972,-628.43212890625
1688442973.8788927,5107,-628.443115234375
1688442980.3147123,5135,-628.40087890625
1688443028.7947075,5346,-628.4654541015625
1688443032.0386076,5360,-628.419189453125
1688443075.7328093,5550,-628.3888549804688
1688443105.4439166,5680,-628.3912963867188
1688443115.5138652,5724,-628.3596801757812
1688443134.8794184,5809,-628.39111328125
1688443147.6332548,5865,-628.36181640625
1688443149.2433052,5872,-628.4093627929688
1688443157.4904552,5908,-628.4679565429688
1688443176.3725438,5991,-628.4658203125
1688443224.3612463,6201,-628.4226684570312
1688443228.7138963,6220,-628.3670654296875
1688443244.7279084,6290,-628.4940795898438
1688443264.528866,6377,-628.448486328125
1688443309.4289584,6575,-628.4600219726562
1688443315.9719703,6604,-628.4461059570312
1688443337.7704675,6700,-628.3882446289062
1688443340.5155609,6712,-628.4039916992188
1688443372.8580186,6855,-628.3802490234375
1688443398.225117,6967,-628.4029541015625
1688443432.4862192,7115,-628.3961791992188
1688443442.089999,7156,-628.379150390625
1688443495.2485132,7383,-628.409912109375
1688443513.5317051,7461,-628.3837890625
1688443514.2335393,7464,-628.3544311523438
1688443517.7440257,7479,-628.396484375
1688443525.5246947,7512,-628.3706665039062
1688443590.007931,7789,-628.4248657226562
1688443592.298736,7799,-628.379150390625
1688443600.3400698,7834,-628.4271850585938
1688443636.7457018,7992,-628.3772583007812
1688443653.9950485,8067,-628.4010620117188
1688443680.1639493,8181,-628.3887329101562
1688443689.6136518,8222,-628.423583984375
1688443722.4561553,8364,-628.4058227539062
1688443725.6691763,8378,-628.3619995117188
1688443753.5490003,8499,-628.4254760742188
1688443755.8457496,8509,-628.4324340820312
1688443777.2803082,8602,-628.409912109375
1688443840.2300646,8879,-628.4122924804688
1688443851.5650613,8929,-628.4251708984375
1688443853.1570857,8936,-628.3841552734375
1688443866.328924,8994,-628.3703002929688
1688443926.7095242,9261,-628.4103393554688
1688443973.7513356,9469,-628.3757934570312
1688443993.2197013,9555,-628.4248046875
1688443996.1508029,9568,-628.430419921875
1688444021.7606773,9681,-628.4124755859375
1688444025.8548577,9699,-628.4575805664062
1688444058.7608755,9844,-628.4258422851562
1688444073.3660333,9908,-628.3988037109375
1688444157.1477802,10277,-628.3961791992188
1688444158.742791,10284,-628.3697509765625
1688444185.225923,10400,-628.3921508789062
1688444203.4754949,10480,-628.3840942382812
1688444213.276749,10523,-628.52197265625
1688444232.4691694,10608,-628.3935546875
1688444266.42685,10758,-628.410400390625
1688444266.6552763,10759,-628.4802856445312
1688444271.6666143,10781,-628.4129028320312
1688444287.5570102,10851,-628.404052734375
1688444299.4584823,10903,-628.3491821289062
1688444300.1437373,10906,-628.4204711914062
1688444308.8631997,10944,-628.417236328125
1688444314.1164508,10967,-628.4076538085938
1688444315.9508028,10975,-628.3844604492188
1688444326.3895009,11021,-628.4620361328125
1688444345.0827682,11103,-628.4392700195312
1688444349.4202907,11122,-628.4357299804688
1688444417.3658338,11420,-628.4154663085938
1688444429.4523816,11473,-628.4423828125
1688444434.0557444,11493,-628.3983154296875
1688444441.131379,11524,-628.4259033203125
1688444443.2011392,11533,-628.3868408203125
1688444450.9445777,11567,-628.3865356445312
1688444478.1693606,11686,-628.46630859375
1688444495.1221054,11760,-628.3629150390625
1688444543.0765738,11970,-628.4559936523438
1688444544.2142055,11975,-628.4854736328125
1688444581.7425756,12139,-628.3943481445312
1688444587.6776128,12165,-628.44091796875
1688444616.40518,12291,-628.4287719726562
1688444703.130645,12672,-628.3775634765625
1688444750.190923,12878,-628.4210815429688
1688444764.3676744,12940,-628.4439086914062
1688444785.917828,13035,-628.4505615234375
1688444792.0773888,13062,-628.4243774414062
1688444796.8982282,13083,-628.3837280273438
1688444799.6068828,13095,-628.38427734375
1688444802.9559574,13110,-628.416015625
1688444869.1582508,13403,-628.41455078125
1688444892.4644368,13505,-628.4120483398438
1688444902.0303621,13547,-628.36669921875
1688444913.687954,13598,-628.3574829101562
1688444918.905795,13621,-628.360595703125
1688444932.2909648,13680,-628.3798828125
1688444962.029949,13811,-628.4412231445312
1688444978.8973956,13885,-628.4879150390625
1688445023.429669,14081,-628.3762817382812
1688445055.4782982,14222,-628.3766479492188
1688445072.099413,14295,-628.3890380859375
1688445078.0982902,14321,-628.4185180664062
1688445082.1605115,14339,-628.4054565429688
1688445095.638515,14398,-628.396728515625
1688445107.0377674,14448,-628.380859375
1688445149.127525,14633,-628.3641967773438
1688445150.506527,14639,-628.4234619140625
1688445157.3427935,14669,-628.4036254882812
1688445159.389652,14678,-628.472900390625
1688445161.6953294,14688,-628.3887329101562
1688445183.1323984,14780,-628.380615234375
1688445190.1668284,14810,-628.3739013671875
1688445205.125055,14874,-628.3804931640625
1688445209.4659593,14893,-628.4041748046875
1688445255.028908,15091,-628.4300537109375
1688445275.7411325,15181,-628.3521118164062
1688445295.4445596,15267,-628.3966064453125
1688445308.7281702,15325,-628.4248046875
1688445342.9938838,15474,-628.4205322265625
1688445343.4483016,15476,-628.41845703125
1688445350.7908988,15508,-628.4013671875
1688445404.5658355,15741,-628.4288940429688
1688445410.1679382,15765,-628.3778076171875
1688445463.2136452,15994,-628.4049072265625
1688445486.7787757,16096,-628.3671264648438
1688445491.6152887,16117,-628.3919677734375
1688445522.207291,16250,-628.36865234375
1688445538.5021303,16322,-628.4049682617188
1688445543.5144663,16344,-628.4140625
1688445557.803843,16407,-628.4188842773438
1688445580.3121083,16506,-628.3702392578125
1688445624.2217846,16698,-628.3958740234375
1688445650.0720873,16810,-628.4733276367188
1688445661.1635528,16858,-628.4075927734375
1688445670.8475916,16900,-628.420654296875
1688445709.1608517,17067,-628.3802490234375
1688445716.2269897,17098,-628.4299926757812
1688445748.7792976,17240,-628.3693237304688
1688445761.0274675,17293,-628.4325561523438
1688445766.8647878,17318,-628.4207763671875
1688445771.9475338,17340,-628.419189453125
1688445796.0922365,17445,-628.4359130859375
1688445818.718418,17544,-628.4210815429688
1688445821.9048615,17558,-628.4595947265625
1688445828.5645802,17587,-628.4134521484375
1688445830.3829975,17595,-628.4268188476562
1688445837.017266,17624,-628.3753051757812
1688445914.3742814,17954,-628.4096069335938
1688445929.7162642,18019,-628.425537109375
1688445940.818983,18066,-628.4288330078125
1688445987.7965293,18265,-628.4298095703125
1688446000.433917,18319,-628.4509887695312
1688446030.6282542,18452,-628.367431640625
1688446063.5883176,18593,-628.3760375976562
1688446125.2740123,18846,-628.380859375
1688446151.3458798,18959,-628.4375
1688446187.662545,19117,-628.3809814453125
1688446200.0974662,19170,-628.4312133789062
1688446223.4529738,19272,-628.462646484375
1688446282.8776104,19532,-628.3592529296875
1688446307.7415798,19641,-628.4439086914062
1688446310.9458785,19655,-628.40185546875
1688446328.6479788,19732,-628.382080078125
1688446355.1137908,19847,-628.442138671875
1688446376.3524096,19939,-628.3790283203125
1688446389.460658,19996,-628.484130859375
1688446398.6513903,20036,-628.3920288085938
1688446402.8034248,20054,-628.411376953125
1688446404.8813572,20063,-628.3697509765625
1688446422.2484074,20139,-628.4505615234375
1688446446.2990618,20245,-628.3583374023438
1688446446.9708772,20248,-628.4087524414062
1688446448.1035159,20253,-628.3894653320312
1688446464.258849,20324,-628.373046875
1688446490.7432017,20441,-628.3915405273438
1688446500.8661284,20486,-628.4224853515625
1688446513.0259218,20540,-628.44140625
1688446513.2493527,20541,-628.4505615234375
1688446518.219812,20563,-628.4058227539062
1688446521.8496566,20579,-628.3671875
1688446567.2875304,20780,-628.4053344726562
1688446567.9613292,20783,-628.4221801757812
1688446579.0618594,20832,-628.3834838867188
1688446584.5131862,20856,-628.4173583984375
1688446635.1133547,21081,-628.3645629882812
1688446649.5738933,21145,-628.3821411132812
1688446664.388498,21210,-628.3782958984375
1688446669.7485023,21233,-628.4508056640625
1688446688.9879844,21317,-628.478515625
1688446689.6737506,21320,-628.44384765625
1688446690.8088865,21325,-628.447998046875
1688446706.0289626,21392,-628.393798828125
1688446710.1002007,21410,-628.4237670898438
1688446736.2093365,21524,-628.431640625
1688446772.1471872,21682,-628.408935546875
1688446798.6808171,21796,-628.4217529296875
1688446804.6253412,21822,-628.428466796875
1688446809.4013262,21843,-628.46826171875
1688446810.7773502,21849,-628.4251098632812
1688446846.6109726,22007,-628.3994140625
1688446901.317739,22246,-628.4284057617188
1688446912.0536358,22293,-628.4039306640625
1688446920.7087464,22331,-628.4280395507812
1688446927.2099423,22359,-628.4229736328125
1688446953.209875,22473,-628.4234619140625
1688447020.2710989,22766,-628.4478759765625
1688447037.3250105,22841,-628.4518432617188
1688447057.6632357,22931,-628.37744140625
1688447104.9066076,23139,-628.4232177734375
1688447107.208291,23149,-628.3840942382812
1688447115.0445852,23183,-628.462646484375
1688447117.3856843,23193,-628.3809814453125
1688447123.3211923,23219,-628.3796997070312
1688447133.431179,23264,-628.40869140625
1688447138.4834452,23287,-628.4636840820312
1688447155.3753538,23362,-628.3861694335938
1688447170.2000577,23428,-628.384521484375
1688447196.1633394,23541,-628.4019775390625
1688447226.097175,23671,-628.3800659179688
1688447228.6503856,23682,-628.4418334960938
1688447233.20602,23702,-628.4545288085938
1688447287.5288148,23939,-628.4105224609375
