Wall time,Step,Value
1688393393.5508735,43,-89.47889709472656
1688393407.5441535,95,-65.15192413330078
1688393426.576233,168,-38.90528869628906
1688393442.7355957,230,-1775.7398681640625
1688393444.0690937,235,-1887.026611328125
1688393454.5657907,274,-319.4112548828125
1688393464.0543392,309,-331.77886962890625
1688393464.558959,311,-838.4083251953125
1688393466.5799747,319,-3075.2470703125
1688393504.4470873,475,-1998.3646240234375
1688393519.475105,537,-43.26530838012695
1688393529.816499,580,-9.883108139038086
1688393531.4828048,587,-205.8318634033203
1688393542.8814878,635,-9.177762031555176
1688393546.05351,648,-28.221481323242188
1688393562.0750012,715,-9.431879997253418
1688393563.9717023,723,-12.392492294311523
1688393584.702261,809,-19.811878204345703
1688393591.4018378,837,-918.1206665039062
1688393634.4809606,1015,-7.5452775955200195
1688393647.569361,1067,-7.961885452270508
1688393657.061335,1105,-8.327107429504395
1688393676.0119662,1181,-8.000555038452148
1688393696.2807343,1262,-10.784911155700684
1688393710.3337624,1317,-10.397786140441895
1688393711.146704,1320,-9.984611511230469
1688393714.573029,1334,-10.387447357177734
1688393715.593441,1338,-9.95893669128418
1688393727.5871596,1386,-8.326789855957031
1688393729.3132946,1393,-8.3934326171875
1688393740.4576578,1437,-6.944912433624268
1688393769.6375117,1553,-39.609466552734375
1688393804.6037724,1692,-42.459163665771484
1688393815.4394047,1735,-5.531476974487305
1688393816.1984875,1738,-6.836422443389893
1688393851.365195,1878,-6.854715347290039
1688393861.5479727,1918,-11.681333541870117
1688393891.5117784,2037,-14.427945137023926
1688393906.586237,2097,-13.1773099899292
1688393932.5741143,2200,-7.971600532531738
1688393948.5093389,2263,-12.849614143371582
1688393959.8521845,2308,-11.672910690307617
1688393980.3685074,2390,-10.235099792480469
1688393992.044132,2437,-9.626864433288574
1688394004.221572,2486,-7.328688621520996
1688394004.478912,2487,-7.988126277923584
1688394007.4334452,2499,-9.261541366577148
1688394015.8327374,2533,-4.4110541343688965
1688394053.90085,2686,-5.260029315948486
1688394067.5880823,2741,-4.448439598083496
1688394124.1559231,2968,-5.334144592285156
1688394141.7479398,3039,-5.336784362792969
1688394172.4494545,3162,-5.0194478034973145
1688394189.6934211,3231,-4.418920516967773
1688394193.6819186,3247,-5.009910583496094
1688394208.7589204,3306,-4.424878120422363
1688394289.4604545,3619,-4.4212846755981445
1688394289.9876447,3621,-5.266221046447754
1688394302.8831844,3671,-4.419919967651367
1688394321.13338,3742,-4.415679454803467
1688394339.881247,3815,-4.445477485656738
1688394341.6497095,3822,-4.418375015258789
1688394368.9001257,3929,-5.753077983856201
1688394376.0132315,3957,-6.839134216308594
1688394396.4324572,4037,-7.208475112915039
1688394411.835739,4099,-4.420100212097168
1688394436.374889,4197,-5.002999782562256
1688394445.466467,4233,-4.420438289642334
1688394466.73881,4318,-5.306042194366455
1688394487.5072129,4401,-4.771695613861084
1688394510.6839004,4493,-4.462265968322754
1688394514.9042842,4510,-8.390660285949707
1688394555.0099247,4669,-4.994465351104736
1688394557.0268238,4677,-4.455951690673828
1688394585.1098258,4789,-4.8459014892578125
1688394630.841326,4972,-4.875437259674072
1688394664.1605523,5107,-4.416591167449951
1688394671.1075072,5135,-4.446425437927246
1688394723.2955198,5346,-7.318942070007324
1688394726.7772155,5360,-4.987122535705566
1688394773.6637971,5550,-6.362189292907715
1688394806.0041761,5680,-4.45814323425293
1688394816.8742166,5724,-4.42203426361084
1688394837.9651866,5809,-4.550841808319092
1688394851.9748034,5865,-5.322286605834961
1688394853.694942,5872,-4.916173458099365
1688394862.6388423,5908,-4.4142374992370605
1688394883.2247808,5991,-6.345539093017578
1688394935.6044216,6201,-4.424459457397461
1688394940.3129954,6220,-4.47450065612793
1688394957.7010589,6290,-4.844841003417969
1688394979.423132,6377,-5.696688652038574
