Wall time,Step,Value
1682942600.7367587,1,-831.4318237304688
1682942600.797077,2,-831.4371948242188
1682942600.8299675,3,-828.6666870117188
1682942600.860865,4,-832.0728149414062
1682942600.8952653,5,-830.7841186523438
1682942600.9281552,6,-830.4445190429688
1682942601.1315079,7,-782.337646484375
1682942601.5073252,8,-822.7862548828125
1682942601.8656738,9,-1158.9296875
1682942602.227529,10,-1884.4644775390625
1682942602.586389,11,-3582.461669921875
1682942602.9517138,12,-1118.0323486328125
1682942603.334788,13,-391.013916015625
1682942603.717182,14,-415.6374206542969
1682942604.095984,15,-399.10528564453125
1682942604.4834363,16,-573.025634765625
1682942604.8604085,17,-671.8467407226562
1682942605.2232623,18,-469.38104248046875
1682942605.5836122,19,-403.5116271972656
1682942605.9305122,20,-379.45330810546875
1682942606.2963538,21,-404.7481994628906
1682942606.6397517,22,-454.9283447265625
1682942606.9996166,23,-416.04913330078125
1682942607.365058,24,-408.66455078125
1682942607.7239232,25,-395.3450622558594
1682942608.0732958,26,-375.7278747558594
1682942608.4321594,27,-447.0680236816406
1682942608.8059778,28,-1072.8533935546875
1682942609.1752932,29,-1138.0599365234375
1682942609.5351503,30,-1636.380615234375
1682942609.880547,31,-2594.769775390625
1682942610.2433984,32,-1787.1187744140625
1682942610.5947716,33,-796.7973022460938
1682942610.9547002,34,-494.385009765625
1682942611.3075845,35,-2466.45654296875
1682942611.6579604,36,-6498.9111328125
1682942612.0138304,37,-1542.266357421875
1682942612.3691914,38,-7380.2587890625
1682942612.737035,39,-6608.1416015625
1682942613.106135,40,-6395.57080078125
1682942613.4834812,41,-6531.19482421875
1682942613.8283734,42,-6501.8662109375
1682942614.1773665,43,-6421.0302734375
1682942614.529252,44,-3826.090576171875
1682942614.886605,45,-625.215576171875
1682942615.2434778,46,-429.40313720703125
1682942615.58807,47,-658.5869140625
1682942615.936304,48,-918.3003540039062
1682942616.2844353,49,-601.39404296875
1682942616.6332352,50,-1688.301513671875
1682942616.9821322,51,-919.09716796875
1682942617.3275173,52,-928.581298828125
1682942617.6714292,53,-633.0353393554688
1682942618.012831,54,-771.4573364257812
1682942618.3577385,55,-716.83056640625
1682942618.7101104,56,-794.2482299804688
1682942619.0679781,57,-781.9813842773438
1682942619.425334,58,-804.3704223632812
1682942619.7861907,59,-664.025634765625
1682942620.1485393,60,-729.0045166015625
1682942620.5064046,61,-636.5971069335938
1682942620.8624716,62,-422.4563903808594
1682942621.207855,63,-348.477783203125
1682942621.5502505,64,-370.64581298828125
1682942621.8911483,65,-328.40020751953125
1682942622.2335367,66,-328.2436218261719
1682942622.5923915,67,-326.6896667480469
1682942622.9417593,68,-335.2108154296875
1682942623.2846577,69,-327.5013427734375
1682942623.6210577,70,-333.0505676269531
1682942623.9614556,71,-337.61199951171875
1682942624.3053517,72,-327.8848571777344
1682942624.6497374,73,-330.6380310058594
1682942625.0065925,74,-328.0108947753906
1682942625.3625505,75,-328.51336669921875
1682942625.712444,76,-333.2734069824219
1682942626.0568364,77,-364.45941162109375
1682942626.3997421,78,-325.9131164550781
1682942626.7461264,79,-2149.705322265625
1682942627.0960298,80,-3288.915771484375
1682942627.4354389,81,-2702.559814453125
1682942627.7933052,82,-4272.65087890625
1682942628.1446826,83,-4277.98095703125
1682942628.4875927,84,-3791.459228515625
1682942628.838969,85,-5259.0595703125
1682942629.213791,86,-3282.520263671875
1682942629.5601792,87,-6253.88671875
1682942629.930201,88,-3693.321533203125
1682942630.3274593,89,-5277.5869140625
1682942630.7252114,90,-3285.85498046875
1682942631.1688285,91,-5305.12109375
1682942631.524706,92,-3579.255615234375
1682942631.8690982,93,-2113.8583984375
1682942632.221975,94,-5228.01513671875
1682942632.5876307,95,-4360.798828125
1682942632.9390037,96,-3574.562744140625
1682942633.2784116,97,-4268.42236328125
1682942633.6193345,98,-4313.9248046875
1682942633.9687107,99,-3336.37646484375
1682942634.3026454,100,-5852.828125
1682942634.6380637,101,-6032.94970703125
1682942634.9869568,102,-5072.3037109375
1682942635.3323507,103,-4940.5595703125
1682942635.6727583,104,-8072.10009765625
1682942636.0146723,105,-5254.11376953125
1682942636.3520875,106,-3260.76806640625
1682942636.699984,107,-4065.095703125
1682942637.0473707,108,-4719.1669921875
1682942637.3827918,109,-2724.180419921875
1682942637.727694,110,-3318.646728515625
1682942638.0760767,111,-6386.8486328125
1682942638.4209785,112,-6325.62109375
1682942638.7643797,113,-3085.32568359375
1682942639.1073077,114,-5205.7900390625
1682942639.459679,115,-2914.66455078125
1682942639.7966049,116,-3866.934326171875
1682942640.1360104,117,-3575.057373046875
1682942640.473419,118,-5274.7197265625
1682942640.8073618,119,-4824.3046875
1682942641.1457715,120,-5369.34326171875
1682942641.4801955,121,-5070.1591796875
1682942641.8181167,122,-3760.916748046875
1682942642.1545334,123,-2709.822998046875
1682942642.4984384,124,-3736.460205078125
1682942642.8587854,125,-4398.47265625
1682942643.222833,126,-5602.8369140625
1682942643.6245422,127,-1325.1309814453125
1682942644.0521843,128,-3564.7041015625
1682942644.4269927,129,-5242.64599609375
1682942644.782341,130,-1347.537353515625
1682942645.1242456,131,-3766.195068359375
1682942645.4757829,132,-3077.378173828125
1682942645.8127146,133,-4262.09716796875
1682942646.1690779,134,-3858.9306640625
1682942646.5040143,135,-6160.7392578125
1682942646.8404322,136,-4249.345703125
1682942647.1768496,137,-4329.38232421875
1682942647.5167675,138,-5026.06494140625
1682942647.861159,139,-5678.7578125
1682942648.2808409,140,-3480.5595703125
1682942648.644696,141,-3215.386474609375
1682942649.0199432,142,-4385.810546875
1682942649.3763008,143,-4594.671875
1682942649.7271428,144,-5793.3681640625
1682942650.0655413,145,-1482.97802734375
1682942650.4029465,146,-4687.904296875
1682942650.7408586,147,-2175.933837890625
1682942651.0772688,148,-1337.6029052734375
1682942651.4161775,149,-4265.98681640625
1682942651.7525814,150,-3259.905517578125
1682942652.087988,151,-5194.89892578125
1682942652.4229083,152,-3753.885009765625
1682942652.760311,153,-5457.36865234375
1682942653.0987105,154,-5535.54052734375
1682942653.4346297,155,-4179.48681640625
1682942653.7700372,156,-2292.6474609375
1682942654.1044493,157,-5777.080078125
1682942654.4373763,158,-2723.2431640625
1682942654.772787,159,-3307.46142578125
1682942655.110031,160,-7745.17626953125
1682942655.4449506,161,-4282.46484375
1682942655.7813542,162,-4306.65625
1682942656.1177614,163,-6281.3828125
1682942656.455675,164,-1329.5908203125
1682942656.7990613,165,-5265.44287109375
1682942657.1355717,166,-3283.46435546875
1682942657.4680045,167,-5969.68310546875
1682942657.8054175,168,-3628.44091796875
1682942658.1383567,169,-5247.04833984375
1682942658.4767644,170,-4551.6650390625
1682942658.8111908,171,-3320.52001953125
1682942659.1481194,172,-7093.44482421875
1682942659.4825456,173,-4703.26806640625
